jobId,skill
90925011614,Azure
31025019897,Python
31025019897,Machine Learning
31025019897,NLP
31025019897,Generative AI
31025004602,Azure
31025001527,Java
11025012763,Python
300925503987,Python
300925503987,SQL
300925029464,GCP
300925013452,Java
300925012552,Linux
300925012221,Python
300925012221,Azure
300925012221,Kubernetes
300925011264,Java
300925011254,SQL
300925011254,Azure
300925011254,Kubernetes
300925011254,Git
300525037508,Power BI
290925926656,Azure
290925926656,React
290925921157,Python
290925915409,Python
290925915409,SQL
290925915409,Spark
290925915408,AWS
290925915408,Kubernetes
290925913219,Azure
290925913219,Docker
290925913219,Kubernetes
290925912944,SQL
290925903193,SQL
290925903190,Python
290925903190,Java
290925903190,JavaScript
290925902680,Java
290925902680,JavaScript
290925503619,Cybersecurity
290925500870,Cybersecurity
290925016363,SQL
290925009096,SQL
290925008744,Java
290925008044,JavaScript
290925008044,React
290925003438,Python
290925003438,SQL
290925003438,GCP
290925003156,AWS
290925003156,Azure
290925003156,GCP
280925004954,JavaScript
280925004954,React
280925004715,Python
280925004715,Deep Learning
280925004715,Generative AI
280925004505,Python
280925004505,AWS
280925004505,Generative AI
280925003929,AWS
280925003929,Docker
280925003929,Java
270925011982,AWS
270925011982,Docker
270925011982,Git
270925011982,Linux
270925010676,SQL
260925930378,Azure
260925929737,SQL
260925928082,AWS
260925928082,Kubernetes
260925928045,SQL
260925928045,Power BI
260925923129,Java
260925919951,Python
260925919951,Kubernetes
260925918523,Spark
260925915660,Spark
260925915660,Java
260925915632,Java
260925915268,SQL
260925915268,Spark
260925914251,Python
260925914251,Linux
260925912754,Python
260925912754,SQL
260925912754,Spark
260925911935,AWS
260925911935,Kubernetes
260925911297,Python
260925911297,Spark
260925910302,Python
260925910302,Git
260925910302,JavaScript
260925032304,Cybersecurity
260925030608,GCP
260925029469,AWS
260925029469,Java
260925029469,JavaScript
260925029469,React
260925028088,JavaScript
260925028088,React
260925024326,JavaScript
260925023413,Python
260925023413,SQL
260925023413,Tableau
260925016316,Python
260925016316,SQL
260925016316,GCP
260925013894,Python
260925013894,AWS
260925013894,Java
260925013236,Cybersecurity
260925012959,Python
260925012959,Docker
